"","sim_num","bins","original_patches"
"1",0,0,68
"2",0,0.5,106
"3",0,1,86
"4",0,1.5,72
"5",0,2,58
"6",0,2.5,38
"7",0,3,36
"8",0,3.5,25
"9",0,4,33
"10",0,4.5,33
"11",0,5,18
"12",0,5.5,19
"13",0,6,17
"14",0,6.5,29
"15",0,7,10
"16",0,7.5,12
"17",0,8,6
"18",0,8.5,2
"19",0,9,1
"20",0,9.5,1
"21",0,10,2
"22",0,10.5,2
"23",0,11,3
"24",1,0,565
"25",1,0.5,892
"26",1,1,647
"27",1,1.5,384
"28",1,2,209
"29",1,2.5,155
"30",1,3,79
"31",1,3.5,60
"32",1,4,34
"33",1,4.5,40
"34",1,5,17
"35",1,5.5,15
"36",1,6,19
"37",1,6.5,15
"38",1,7,12
"39",1,7.5,5
"40",1,8,6
"41",1,8.5,2
"42",1,9,1
"43",2,0,522
"44",2,0.5,776
"45",2,1,634
"46",2,1.5,367
"47",2,2,216
"48",2,2.5,168
"49",2,3,72
"50",2,3.5,68
"51",2,4,35
"52",2,4.5,21
"53",2,5,18
"54",2,5.5,13
"55",2,6,21
"56",2,6.5,13
"57",2,7,4
"58",2,7.5,5
"59",2,8,0
"60",2,8.5,2
"61",2,9,2
"62",2,9.5,0
"63",2,10,2
"64",2,10.5,0
"65",2,11,1
"66",3,0,559
"67",3,0.5,848
"68",3,1,643
"69",3,1.5,364
"70",3,2,232
"71",3,2.5,167
"72",3,3,107
"73",3,3.5,58
"74",3,4,42
"75",3,4.5,22
"76",3,5,24
"77",3,5.5,24
"78",3,6,13
"79",3,6.5,15
"80",3,7,16
"81",3,7.5,6
"82",3,8,4
"83",3,8.5,4
"84",3,9,0
"85",3,9.5,2
"86",3,10,1
"87",4,0,513
"88",4,0.5,859
"89",4,1,673
"90",4,1.5,439
"91",4,2,271
"92",4,2.5,164
"93",4,3,132
"94",4,3.5,56
"95",4,4,47
"96",4,4.5,38
"97",4,5,32
"98",4,5.5,20
"99",4,6,20
"100",4,6.5,14
"101",4,7,11
"102",4,7.5,6
"103",4,8,3
"104",4,8.5,2
"105",4,9,1
"106",5,0,551
"107",5,0.5,755
"108",5,1,636
"109",5,1.5,382
"110",5,2,238
"111",5,2.5,154
"112",5,3,89
"113",5,3.5,52
"114",5,4,38
"115",5,4.5,34
"116",5,5,26
"117",5,5.5,19
"118",5,6,19
"119",5,6.5,11
"120",5,7,18
"121",5,7.5,10
"122",5,8,4
"123",5,8.5,6
"124",5,9,2
"125",6,0,522
"126",6,0.5,825
"127",6,1,625
"128",6,1.5,423
"129",6,2,226
"130",6,2.5,192
"131",6,3,114
"132",6,3.5,54
"133",6,4,49
"134",6,4.5,36
"135",6,5,29
"136",6,5.5,23
"137",6,6,18
"138",6,6.5,14
"139",6,7,6
"140",6,7.5,13
"141",6,8,5
"142",6,8.5,3
"143",6,9,4
"144",6,9.5,1
"145",7,0,613
"146",7,0.5,897
"147",7,1,672
"148",7,1.5,414
"149",7,2,266
"150",7,2.5,177
"151",7,3,144
"152",7,3.5,62
"153",7,4,40
"154",7,4.5,36
"155",7,5,27
"156",7,5.5,22
"157",7,6,16
"158",7,6.5,18
"159",7,7,7
"160",7,7.5,6
"161",7,8,0
"162",7,8.5,4
"163",7,9,2
"164",8,0,481
"165",8,0.5,765
"166",8,1,628
"167",8,1.5,364
"168",8,2,240
"169",8,2.5,144
"170",8,3,89
"171",8,3.5,58
"172",8,4,36
"173",8,4.5,37
"174",8,5,32
"175",8,5.5,13
"176",8,6,22
"177",8,6.5,17
"178",8,7,11
"179",8,7.5,5
"180",8,8,7
"181",8,8.5,1
"182",8,9,4
"183",8,9.5,1
"184",8,10,0
"185",8,10.5,0
"186",8,11,1
"187",9,0,548
"188",9,0.5,868
"189",9,1,640
"190",9,1.5,438
"191",9,2,269
"192",9,2.5,167
"193",9,3,108
"194",9,3.5,67
"195",9,4,45
"196",9,4.5,33
"197",9,5,20
"198",9,5.5,15
"199",9,6,16
"200",9,6.5,13
"201",9,7,9
"202",9,7.5,9
"203",9,8,4
"204",9,8.5,3
"205",9,9,1
"206",9,9.5,1
"207",10,0,523
"208",10,0.5,834
"209",10,1,603
"210",10,1.5,394
"211",10,2,266
"212",10,2.5,148
"213",10,3,105
"214",10,3.5,54
"215",10,4,36
"216",10,4.5,28
"217",10,5,11
"218",10,5.5,20
"219",10,6,17
"220",10,6.5,12
"221",10,7,14
"222",10,7.5,5
"223",10,8,5
"224",10,8.5,1
"225",10,9,2
"226",10,9.5,1
