"","sim_num","bins","original_patches"
"1",0,0,68
"2",0,0.5,106
"3",0,1,86
"4",0,1.5,72
"5",0,2,58
"6",0,2.5,38
"7",0,3,36
"8",0,3.5,25
"9",0,4,33
"10",0,4.5,33
"11",0,5,18
"12",0,5.5,19
"13",0,6,17
"14",0,6.5,29
"15",0,7,10
"16",0,7.5,12
"17",0,8,6
"18",0,8.5,2
"19",0,9,1
"20",0,9.5,1
"21",0,10,2
"22",0,10.5,2
"23",0,11,3
"24",1,0,25
"25",1,0.5,37
"26",1,1,32
"27",1,1.5,18
"28",1,2,15
"29",1,2.5,20
"30",1,3,15
"31",1,3.5,15
"32",1,4,9
"33",1,4.5,10
"34",1,5,15
"35",1,5.5,9
"36",1,6,13
"37",1,6.5,9
"38",1,7,6
"39",1,7.5,4
"40",1,8,4
"41",1,8.5,2
"42",1,9,2
"43",1,9.5,2
"44",1,10,1
"45",1,10.5,1
"46",1,11,1
"47",1,11.5,2
"48",1,12,1
"49",2,0,18
"50",2,0.5,41
"51",2,1,27
"52",2,1.5,34
"53",2,2,22
"54",2,2.5,22
"55",2,3,16
"56",2,3.5,6
"57",2,4,11
"58",2,4.5,12
"59",2,5,8
"60",2,5.5,6
"61",2,6,6
"62",2,6.5,7
"63",2,7,9
"64",2,7.5,2
"65",2,8,3
"66",2,8.5,3
"67",2,9,3
"68",2,9.5,2
"69",2,10,3
"70",2,10.5,3
"71",2,11,1
"72",2,11.5,0
"73",2,12,0
"74",2,12.5,1
"75",3,0,16
"76",3,0.5,27
"77",3,1,34
"78",3,1.5,34
"79",3,2,10
"80",3,2.5,22
"81",3,3,11
"82",3,3.5,11
"83",3,4,13
"84",3,4.5,8
"85",3,5,4
"86",3,5.5,10
"87",3,6,2
"88",3,6.5,9
"89",3,7,9
"90",3,7.5,9
"91",3,8,2
"92",3,8.5,6
"93",3,9,2
"94",3,9.5,1
"95",3,10,2
"96",3,10.5,0
"97",3,11,0
"98",3,11.5,1
"99",3,12,1
"100",3,12.5,0
"101",3,13,1
"102",4,0,26
"103",4,0.5,40
"104",4,1,40
"105",4,1.5,22
"106",4,2,16
"107",4,2.5,23
"108",4,3,15
"109",4,3.5,15
"110",4,4,10
"111",4,4.5,5
"112",4,5,10
"113",4,5.5,11
"114",4,6,12
"115",4,6.5,12
"116",4,7,7
"117",4,7.5,5
"118",4,8,2
"119",4,8.5,1
"120",4,9,1
"121",4,9.5,2
"122",4,10,4
"123",4,10.5,1
"124",4,11,3
"125",4,11.5,1
"126",5,0,26
"127",5,0.5,38
"128",5,1,35
"129",5,1.5,23
"130",5,2,22
"131",5,2.5,12
"132",5,3,14
"133",5,3.5,12
"134",5,4,11
"135",5,4.5,7
"136",5,5,6
"137",5,5.5,5
"138",5,6,8
"139",5,6.5,7
"140",5,7,7
"141",5,7.5,6
"142",5,8,4
"143",5,8.5,2
"144",5,9,2
"145",5,9.5,3
"146",5,10,1
"147",5,10.5,0
"148",5,11,1
"149",5,11.5,0
"150",5,12,0
"151",5,12.5,0
"152",5,13,0
"153",5,13.5,1
"154",6,0,28
"155",6,0.5,36
"156",6,1,37
"157",6,1.5,21
"158",6,2,20
"159",6,2.5,22
"160",6,3,15
"161",6,3.5,11
"162",6,4,8
"163",6,4.5,9
"164",6,5,8
"165",6,5.5,8
"166",6,6,2
"167",6,6.5,8
"168",6,7,1
"169",6,7.5,7
"170",6,8,0
"171",6,8.5,1
"172",6,9,1
"173",6,9.5,1
"174",6,10,3
"175",6,10.5,1
"176",6,11,2
"177",6,11.5,1
"178",6,12,1
"179",6,12.5,0
"180",6,13,1
"181",7,0,23
"182",7,0.5,46
"183",7,1,33
"184",7,1.5,35
"185",7,2,20
"186",7,2.5,22
"187",7,3,15
"188",7,3.5,19
"189",7,4,14
"190",7,4.5,12
"191",7,5,13
"192",7,5.5,13
"193",7,6,8
"194",7,6.5,8
"195",7,7,3
"196",7,7.5,8
"197",7,8,9
"198",7,8.5,3
"199",7,9,2
"200",7,9.5,1
"201",7,10,1
"202",7,10.5,2
"203",7,11,0
"204",7,11.5,0
"205",7,12,0
"206",7,12.5,2
"207",8,0,13
"208",8,0.5,25
"209",8,1,41
"210",8,1.5,16
"211",8,2,14
"212",8,2.5,11
"213",8,3,12
"214",8,3.5,9
"215",8,4,13
"216",8,4.5,9
"217",8,5,10
"218",8,5.5,11
"219",8,6,8
"220",8,6.5,8
"221",8,7,6
"222",8,7.5,3
"223",8,8,6
"224",8,8.5,1
"225",8,9,0
"226",8,9.5,2
"227",8,10,1
"228",8,10.5,1
"229",8,11,2
"230",8,11.5,0
"231",8,12,1
"232",8,12.5,0
"233",8,13,1
"234",9,0,25
"235",9,0.5,32
"236",9,1,22
"237",9,1.5,23
"238",9,2,19
"239",9,2.5,10
"240",9,3,15
"241",9,3.5,13
"242",9,4,10
"243",9,4.5,15
"244",9,5,7
"245",9,5.5,10
"246",9,6,8
"247",9,6.5,9
"248",9,7,5
"249",9,7.5,8
"250",9,8,3
"251",9,8.5,1
"252",9,9,4
"253",9,9.5,1
"254",9,10,2
"255",9,10.5,0
"256",9,11,1
"257",9,11.5,1
"258",9,12,0
"259",9,12.5,0
"260",9,13,0
"261",9,13.5,1
"262",10,0,15
"263",10,0.5,35
"264",10,1,40
"265",10,1.5,27
"266",10,2,29
"267",10,2.5,17
"268",10,3,11
"269",10,3.5,10
"270",10,4,10
"271",10,4.5,9
"272",10,5,7
"273",10,5.5,13
"274",10,6,5
"275",10,6.5,4
"276",10,7,2
"277",10,7.5,4
"278",10,8,3
"279",10,8.5,1
"280",10,9,1
"281",10,9.5,1
"282",10,10,0
"283",10,10.5,0
"284",10,11,0
"285",10,11.5,0
"286",10,12,1
"287",10,12.5,1
"288",10,13,1
