"","sim_num","bins","original_patches"
"1",0,0,68
"2",0,0.5,106
"3",0,1,86
"4",0,1.5,72
"5",0,2,58
"6",0,2.5,38
"7",0,3,36
"8",0,3.5,25
"9",0,4,33
"10",0,4.5,33
"11",0,5,18
"12",0,5.5,19
"13",0,6,17
"14",0,6.5,29
"15",0,7,10
"16",0,7.5,12
"17",0,8,6
"18",0,8.5,2
"19",0,9,1
"20",0,9.5,1
"21",0,10,2
"22",0,10.5,2
"23",0,11,3
"24",1,0,41
"25",1,0.5,70
"26",1,1,56
"27",1,1.5,31
"28",1,2,26
"29",1,2.5,23
"30",1,3,16
"31",1,3.5,18
"32",1,4,14
"33",1,4.5,13
"34",1,5,14
"35",1,5.5,17
"36",1,6,10
"37",1,6.5,5
"38",1,7,2
"39",1,7.5,7
"40",1,8,6
"41",1,8.5,2
"42",1,9,1
"43",1,9.5,1
"44",1,10,1
"45",1,10.5,1
"46",1,11,3
"47",1,11.5,1
"48",2,0,51
"49",2,0.5,70
"50",2,1,52
"51",2,1.5,37
"52",2,2,21
"53",2,2.5,26
"54",2,3,21
"55",2,3.5,14
"56",2,4,9
"57",2,4.5,12
"58",2,5,9
"59",2,5.5,5
"60",2,6,7
"61",2,6.5,5
"62",2,7,4
"63",2,7.5,2
"64",2,8,6
"65",2,8.5,0
"66",2,9,2
"67",2,9.5,1
"68",2,10,1
"69",2,10.5,1
"70",2,11,2
"71",2,11.5,1
"72",2,12,1
"73",2,12.5,1
"74",3,0,49
"75",3,0.5,84
"76",3,1,63
"77",3,1.5,42
"78",3,2,24
"79",3,2.5,29
"80",3,3,21
"81",3,3.5,13
"82",3,4,11
"83",3,4.5,11
"84",3,5,8
"85",3,5.5,11
"86",3,6,10
"87",3,6.5,10
"88",3,7,4
"89",3,7.5,6
"90",3,8,2
"91",3,8.5,3
"92",3,9,2
"93",3,9.5,3
"94",3,10,2
"95",3,10.5,4
"96",3,11,0
"97",3,11.5,2
"98",4,0,47
"99",4,0.5,64
"100",4,1,48
"101",4,1.5,28
"102",4,2,22
"103",4,2.5,30
"104",4,3,13
"105",4,3.5,12
"106",4,4,10
"107",4,4.5,9
"108",4,5,9
"109",4,5.5,11
"110",4,6,11
"111",4,6.5,6
"112",4,7,3
"113",4,7.5,7
"114",4,8,3
"115",4,8.5,2
"116",4,9,1
"117",4,9.5,2
"118",4,10,3
"119",4,10.5,0
"120",4,11,2
"121",4,11.5,1
"122",4,12,1
"123",4,12.5,1
"124",5,0,51
"125",5,0.5,67
"126",5,1,44
"127",5,1.5,31
"128",5,2,26
"129",5,2.5,16
"130",5,3,13
"131",5,3.5,9
"132",5,4,10
"133",5,4.5,11
"134",5,5,3
"135",5,5.5,10
"136",5,6,6
"137",5,6.5,8
"138",5,7,4
"139",5,7.5,6
"140",5,8,1
"141",5,8.5,1
"142",5,9,2
"143",5,9.5,2
"144",5,10,0
"145",5,10.5,1
"146",5,11,1
"147",5,11.5,2
"148",5,12,0
"149",5,12.5,0
"150",5,13,1
"151",6,0,42
"152",6,0.5,60
"153",6,1,47
"154",6,1.5,41
"155",6,2,25
"156",6,2.5,14
"157",6,3,14
"158",6,3.5,13
"159",6,4,7
"160",6,4.5,8
"161",6,5,14
"162",6,5.5,7
"163",6,6,4
"164",6,6.5,8
"165",6,7,5
"166",6,7.5,3
"167",6,8,3
"168",6,8.5,3
"169",6,9,2
"170",6,9.5,0
"171",6,10,0
"172",6,10.5,2
"173",6,11,3
"174",6,11.5,0
"175",6,12,0
"176",6,12.5,2
"177",7,0,38
"178",7,0.5,57
"179",7,1,52
"180",7,1.5,30
"181",7,2,14
"182",7,2.5,19
"183",7,3,21
"184",7,3.5,11
"185",7,4,8
"186",7,4.5,10
"187",7,5,9
"188",7,5.5,4
"189",7,6,6
"190",7,6.5,12
"191",7,7,6
"192",7,7.5,1
"193",7,8,2
"194",7,8.5,2
"195",7,9,2
"196",7,9.5,1
"197",7,10,2
"198",7,10.5,2
"199",7,11,0
"200",7,11.5,2
"201",7,12,1
"202",7,12.5,1
"203",8,0,53
"204",8,0.5,54
"205",8,1,44
"206",8,1.5,24
"207",8,2,16
"208",8,2.5,24
"209",8,3,14
"210",8,3.5,10
"211",8,4,9
"212",8,4.5,12
"213",8,5,11
"214",8,5.5,10
"215",8,6,14
"216",8,6.5,4
"217",8,7,7
"218",8,7.5,1
"219",8,8,2
"220",8,8.5,1
"221",8,9,3
"222",8,9.5,1
"223",8,10,1
"224",8,10.5,1
"225",8,11,0
"226",8,11.5,0
"227",8,12,1
"228",8,12.5,0
"229",8,13,0
"230",8,13.5,1
"231",9,0,54
"232",9,0.5,74
"233",9,1,51
"234",9,1.5,27
"235",9,2,20
"236",9,2.5,19
"237",9,3,12
"238",9,3.5,13
"239",9,4,11
"240",9,4.5,9
"241",9,5,15
"242",9,5.5,13
"243",9,6,8
"244",9,6.5,4
"245",9,7,6
"246",9,7.5,3
"247",9,8,4
"248",9,8.5,2
"249",9,9,3
"250",9,9.5,0
"251",9,10,4
"252",9,10.5,1
"253",9,11,0
"254",9,11.5,0
"255",9,12,0
"256",9,12.5,0
"257",9,13,1
"258",10,0,44
"259",10,0.5,70
"260",10,1,70
"261",10,1.5,38
"262",10,2,24
"263",10,2.5,17
"264",10,3,19
"265",10,3.5,14
"266",10,4,15
"267",10,4.5,14
"268",10,5,8
"269",10,5.5,9
"270",10,6,7
"271",10,6.5,12
"272",10,7,3
"273",10,7.5,1
"274",10,8,4
"275",10,8.5,4
"276",10,9,2
"277",10,9.5,2
"278",10,10,1
"279",10,10.5,2
"280",10,11,0
"281",10,11.5,0
"282",10,12,1
"283",10,12.5,0
"284",10,13,1
