"","sim_num","bins","original_patches"
"1",0,0,68
"2",0,0.5,106
"3",0,1,86
"4",0,1.5,72
"5",0,2,58
"6",0,2.5,38
"7",0,3,36
"8",0,3.5,25
"9",0,4,33
"10",0,4.5,33
"11",0,5,18
"12",0,5.5,19
"13",0,6,17
"14",0,6.5,29
"15",0,7,10
"16",0,7.5,12
"17",0,8,6
"18",0,8.5,2
"19",0,9,1
"20",0,9.5,1
"21",0,10,2
"22",0,10.5,2
"23",0,11,3
"24",1,0,28
"25",1,0.5,39
"26",1,1,36
"27",1,1.5,30
"28",1,2,18
"29",1,2.5,15
"30",1,3,19
"31",1,3.5,8
"32",1,4,10
"33",1,4.5,8
"34",1,5,12
"35",1,5.5,10
"36",1,6,4
"37",1,6.5,11
"38",1,7,5
"39",1,7.5,4
"40",1,8,2
"41",1,8.5,6
"42",1,9,0
"43",1,9.5,3
"44",1,10,2
"45",1,10.5,2
"46",1,11,1
"47",1,11.5,0
"48",1,12,2
"49",1,0,33
"50",1,0.5,46
"51",1,1,53
"52",1,1.5,29
"53",1,2,34
"54",1,2.5,16
"55",1,3,21
"56",1,3.5,15
"57",1,4,13
"58",1,4.5,12
"59",1,5,10
"60",1,5.5,11
"61",1,6,16
"62",1,6.5,14
"63",1,7,4
"64",1,7.5,9
"65",1,8,4
"66",1,8.5,6
"67",1,9,5
"68",1,9.5,4
"69",1,10,2
"70",1,10.5,1
"71",1,11,1
"72",1,11.5,0
"73",1,12,0
"74",1,12.5,0
"75",1,13,1
"76",2,0,25
"77",2,0.5,50
"78",2,1,45
"79",2,1.5,26
"80",2,2,25
"81",2,2.5,24
"82",2,3,21
"83",2,3.5,15
"84",2,4,17
"85",2,4.5,17
"86",2,5,13
"87",2,5.5,26
"88",2,6,12
"89",2,6.5,14
"90",2,7,5
"91",2,7.5,14
"92",2,8,6
"93",2,8.5,6
"94",2,9,1
"95",2,9.5,3
"96",2,10,1
"97",2,10.5,3
"98",2,11,3
"99",3,0,25
"100",3,0.5,50
"101",3,1,40
"102",3,1.5,37
"103",3,2,30
"104",3,2.5,25
"105",3,3,23
"106",3,3.5,16
"107",3,4,14
"108",3,4.5,18
"109",3,5,15
"110",3,5.5,8
"111",3,6,11
"112",3,6.5,10
"113",3,7,9
"114",3,7.5,11
"115",3,8,5
"116",3,8.5,5
"117",3,9,1
"118",3,9.5,4
"119",3,10,2
"120",3,10.5,1
"121",3,11,3
"122",4,0,30
"123",4,0.5,57
"124",4,1,58
"125",4,1.5,36
"126",4,2,24
"127",4,2.5,20
"128",4,3,20
"129",4,3.5,24
"130",4,4,5
"131",4,4.5,13
"132",4,5,16
"133",4,5.5,12
"134",4,6,19
"135",4,6.5,15
"136",4,7,8
"137",4,7.5,2
"138",4,8,3
"139",4,8.5,4
"140",4,9,5
"141",4,9.5,4
"142",4,10,4
"143",4,10.5,2
"144",4,11,1
"145",4,11.5,0
"146",4,12,1
"147",5,0,27
"148",5,0.5,48
"149",5,1,47
"150",5,1.5,35
"151",5,2,24
"152",5,2.5,21
"153",5,3,25
"154",5,3.5,17
"155",5,4,7
"156",5,4.5,12
"157",5,5,13
"158",5,5.5,8
"159",5,6,13
"160",5,6.5,7
"161",5,7,6
"162",5,7.5,6
"163",5,8,4
"164",5,8.5,2
"165",5,9,2
"166",5,9.5,3
"167",5,10,0
"168",5,10.5,2
"169",5,11,0
"170",5,11.5,1
"171",5,12,0
"172",5,12.5,2
"173",6,0,33
"174",6,0.5,58
"175",6,1,60
"176",6,1.5,42
"177",6,2,25
"178",6,2.5,27
"179",6,3,24
"180",6,3.5,18
"181",6,4,12
"182",6,4.5,19
"183",6,5,19
"184",6,5.5,16
"185",6,6,16
"186",6,6.5,13
"187",6,7,8
"188",6,7.5,15
"189",6,8,3
"190",6,8.5,2
"191",6,9,5
"192",6,9.5,1
"193",6,10,1
"194",6,10.5,5
"195",6,11,2
"196",7,0,33
"197",7,0.5,65
"198",7,1,43
"199",7,1.5,35
"200",7,2,30
"201",7,2.5,24
"202",7,3,24
"203",7,3.5,20
"204",7,4,17
"205",7,4.5,12
"206",7,5,25
"207",7,5.5,9
"208",7,6,12
"209",7,6.5,17
"210",7,7,7
"211",7,7.5,4
"212",7,8,5
"213",7,8.5,5
"214",7,9,3
"215",7,9.5,2
"216",7,10,2
"217",7,10.5,2
"218",7,11,2
"219",7,11.5,1
"220",8,0,30
"221",8,0.5,50
"222",8,1,50
"223",8,1.5,37
"224",8,2,29
"225",8,2.5,23
"226",8,3,18
"227",8,3.5,13
"228",8,4,14
"229",8,4.5,17
"230",8,5,10
"231",8,5.5,15
"232",8,6,14
"233",8,6.5,13
"234",8,7,7
"235",8,7.5,8
"236",8,8,4
"237",8,8.5,4
"238",8,9,5
"239",8,9.5,6
"240",8,10,2
"241",8,10.5,0
"242",8,11,1
"243",8,11.5,1
"244",9,0,33
"245",9,0.5,44
"246",9,1,48
"247",9,1.5,38
"248",9,2,22
"249",9,2.5,17
"250",9,3,13
"251",9,3.5,13
"252",9,4,16
"253",9,4.5,13
"254",9,5,12
"255",9,5.5,9
"256",9,6,14
"257",9,6.5,16
"258",9,7,11
"259",9,7.5,8
"260",9,8,3
"261",9,8.5,2
"262",9,9,4
"263",9,9.5,2
"264",9,10,3
"265",9,10.5,0
"266",9,11,3
"267",9,11.5,0
"268",9,12,0
"269",9,12.5,1
"270",10,0,37
"271",10,0.5,45
"272",10,1,43
"273",10,1.5,30
"274",10,2,24
"275",10,2.5,25
"276",10,3,19
"277",10,3.5,15
"278",10,4,11
"279",10,4.5,3
"280",10,5,12
"281",10,5.5,19
"282",10,6,10
"283",10,6.5,8
"284",10,7,3
"285",10,7.5,4
"286",10,8,4
"287",10,8.5,5
"288",10,9,1
"289",10,9.5,3
"290",10,10,3
"291",10,10.5,1
"292",10,11,1
"293",10,11.5,1
"294",10,12,0
"295",10,12.5,0
"296",10,13,1
