"","sim_num","bins","original_patches"
"1",0,0,68
"2",0,0.5,106
"3",0,1,86
"4",0,1.5,72
"5",0,2,58
"6",0,2.5,38
"7",0,3,36
"8",0,3.5,25
"9",0,4,33
"10",0,4.5,33
"11",0,5,18
"12",0,5.5,19
"13",0,6,17
"14",0,6.5,29
"15",0,7,10
"16",0,7.5,12
"17",0,8,6
"18",0,8.5,2
"19",0,9,1
"20",0,9.5,1
"21",0,10,2
"22",0,10.5,2
"23",0,11,3
"24",1,0,37
"25",1,0.5,58
"26",1,1,44
"27",1,1.5,34
"28",1,2,25
"29",1,2.5,18
"30",1,3,15
"31",1,3.5,15
"32",1,4,10
"33",1,4.5,6
"34",1,5,9
"35",1,5.5,13
"36",1,6,7
"37",1,6.5,9
"38",1,7,8
"39",1,7.5,5
"40",1,8,1
"41",1,8.5,5
"42",1,9,1
"43",1,9.5,2
"44",1,10,4
"45",1,10.5,2
"46",1,11,0
"47",1,11.5,1
"48",1,12,0
"49",1,12.5,1
"50",2,0,35
"51",2,0.5,49
"52",2,1,50
"53",2,1.5,33
"54",2,2,21
"55",2,2.5,14
"56",2,3,14
"57",2,3.5,8
"58",2,4,9
"59",2,4.5,6
"60",2,5,8
"61",2,5.5,10
"62",2,6,9
"63",2,6.5,7
"64",2,7,5
"65",2,7.5,4
"66",2,8,5
"67",2,8.5,1
"68",2,9,1
"69",2,9.5,1
"70",2,10,4
"71",2,10.5,2
"72",2,11,1
"73",2,11.5,1
"74",2,12,0
"75",2,12.5,0
"76",2,13,1
"77",3,0,40
"78",3,0.5,45
"79",3,1,48
"80",3,1.5,28
"81",3,2,20
"82",3,2.5,18
"83",3,3,13
"84",3,3.5,17
"85",3,4,12
"86",3,4.5,10
"87",3,5,6
"88",3,5.5,8
"89",3,6,7
"90",3,6.5,8
"91",3,7,4
"92",3,7.5,3
"93",3,8,4
"94",3,8.5,2
"95",3,9,3
"96",3,9.5,1
"97",3,10,1
"98",3,10.5,0
"99",3,11,3
"100",3,11.5,0
"101",3,12,0
"102",3,12.5,0
"103",3,13,0
"104",3,13.5,1
"105",4,0,33
"106",4,0.5,59
"107",4,1,40
"108",4,1.5,35
"109",4,2,22
"110",4,2.5,15
"111",4,3,16
"112",4,3.5,9
"113",4,4,14
"114",4,4.5,10
"115",4,5,16
"116",4,5.5,7
"117",4,6,8
"118",4,6.5,8
"119",4,7,6
"120",4,7.5,4
"121",4,8,2
"122",4,8.5,2
"123",4,9,5
"124",4,9.5,2
"125",4,10,0
"126",4,10.5,4
"127",4,11,1
"128",4,11.5,0
"129",4,12,0
"130",4,12.5,0
"131",4,13,0
"132",4,13.5,1
"133",5,0,44
"134",5,0.5,48
"135",5,1,44
"136",5,1.5,35
"137",5,2,26
"138",5,2.5,21
"139",5,3,15
"140",5,3.5,8
"141",5,4,12
"142",5,4.5,10
"143",5,5,8
"144",5,5.5,6
"145",5,6,7
"146",5,6.5,7
"147",5,7,5
"148",5,7.5,3
"149",5,8,7
"150",5,8.5,4
"151",5,9,4
"152",5,9.5,2
"153",5,10,1
"154",5,10.5,1
"155",5,11,0
"156",5,11.5,1
"157",5,12,0
"158",5,12.5,1
"159",6,0,40
"160",6,0.5,56
"161",6,1,48
"162",6,1.5,33
"163",6,2,26
"164",6,2.5,14
"165",6,3,22
"166",6,3.5,9
"167",6,4,11
"168",6,4.5,18
"169",6,5,11
"170",6,5.5,5
"171",6,6,7
"172",6,6.5,7
"173",6,7,6
"174",6,7.5,7
"175",6,8,6
"176",6,8.5,5
"177",6,9,1
"178",6,9.5,1
"179",6,10,1
"180",6,10.5,1
"181",6,11,3
"182",6,11.5,1
"183",6,12,2
"184",7,0,33
"185",7,0.5,60
"186",7,1,38
"187",7,1.5,34
"188",7,2,20
"189",7,2.5,13
"190",7,3,20
"191",7,3.5,10
"192",7,4,18
"193",7,4.5,5
"194",7,5,15
"195",7,5.5,9
"196",7,6,2
"197",7,6.5,7
"198",7,7,8
"199",7,7.5,3
"200",7,8,3
"201",7,8.5,1
"202",7,9,1
"203",7,9.5,1
"204",7,10,0
"205",7,10.5,0
"206",7,11,1
"207",7,11.5,1
"208",7,12,1
"209",7,12.5,0
"210",7,13,0
"211",7,13.5,1
"212",8,0,38
"213",8,0.5,58
"214",8,1,42
"215",8,1.5,35
"216",8,2,25
"217",8,2.5,29
"218",8,3,7
"219",8,3.5,9
"220",8,4,10
"221",8,4.5,12
"222",8,5,4
"223",8,5.5,9
"224",8,6,7
"225",8,6.5,8
"226",8,7,6
"227",8,7.5,4
"228",8,8,5
"229",8,8.5,2
"230",8,9,3
"231",8,9.5,3
"232",8,10,4
"233",8,10.5,0
"234",8,11,0
"235",8,11.5,0
"236",8,12,0
"237",8,12.5,0
"238",8,13,1
"239",9,0,36
"240",9,0.5,58
"241",9,1,40
"242",9,1.5,28
"243",9,2,26
"244",9,2.5,18
"245",9,3,23
"246",9,3.5,13
"247",9,4,13
"248",9,4.5,13
"249",9,5,16
"250",9,5.5,5
"251",9,6,5
"252",9,6.5,12
"253",9,7,5
"254",9,7.5,0
"255",9,8,3
"256",9,8.5,2
"257",9,9,2
"258",9,9.5,4
"259",9,10,0
"260",9,10.5,1
"261",9,11,1
"262",9,11.5,2
"263",9,12,0
"264",9,12.5,1
"265",10,0,29
"266",10,0.5,41
"267",10,1,46
"268",10,1.5,27
"269",10,2,21
"270",10,2.5,21
"271",10,3,16
"272",10,3.5,10
"273",10,4,6
"274",10,4.5,8
"275",10,5,10
"276",10,5.5,8
"277",10,6,7
"278",10,6.5,9
"279",10,7,7
"280",10,7.5,4
"281",10,8,4
"282",10,8.5,3
"283",10,9,2
"284",10,9.5,2
"285",10,10,1
"286",10,10.5,0
"287",10,11,1
"288",10,11.5,1
"289",10,12,1
"290",10,12.5,0
"291",10,13,1
