"","sim_num","bins","original_patches"
"1",0,0,68
"2",0,0.5,106
"3",0,1,86
"4",0,1.5,72
"5",0,2,58
"6",0,2.5,38
"7",0,3,36
"8",0,3.5,25
"9",0,4,33
"10",0,4.5,33
"11",0,5,18
"12",0,5.5,19
"13",0,6,17
"14",0,6.5,29
"15",0,7,10
"16",0,7.5,12
"17",0,8,6
"18",0,8.5,2
"19",0,9,1
"20",0,9.5,1
"21",0,10,2
"22",0,10.5,2
"23",0,11,3
"24",1,0,25
"25",1,0.5,40
"26",1,1,42
"27",1,1.5,32
"28",1,2,24
"29",1,2.5,18
"30",1,3,10
"31",1,3.5,11
"32",1,4,11
"33",1,4.5,7
"34",1,5,10
"35",1,5.5,2
"36",1,6,8
"37",1,6.5,4
"38",1,7,5
"39",1,7.5,4
"40",1,8,1
"41",1,8.5,2
"42",1,9,1
"43",1,9.5,2
"44",1,10,2
"45",1,10.5,1
"46",1,11,1
"47",1,11.5,0
"48",1,12,1
"49",1,12.5,0
"50",1,13,0
"51",1,13.5,1
"52",2,0,16
"53",2,0.5,35
"54",2,1,35
"55",2,1.5,26
"56",2,2,16
"57",2,2.5,15
"58",2,3,17
"59",2,3.5,13
"60",2,4,12
"61",2,4.5,2
"62",2,5,6
"63",2,5.5,13
"64",2,6,5
"65",2,6.5,7
"66",2,7,3
"67",2,7.5,2
"68",2,8,6
"69",2,8.5,0
"70",2,9,3
"71",2,9.5,3
"72",2,10,1
"73",2,10.5,1
"74",2,11,1
"75",2,11.5,1
"76",2,12,1
"77",2,12.5,0
"78",2,13,1
"79",3,0,14
"80",3,0.5,39
"81",3,1,31
"82",3,1.5,27
"83",3,2,26
"84",3,2.5,20
"85",3,3,11
"86",3,3.5,10
"87",3,4,5
"88",3,4.5,6
"89",3,5,11
"90",3,5.5,11
"91",3,6,9
"92",3,6.5,6
"93",3,7,5
"94",3,7.5,7
"95",3,8,2
"96",3,8.5,0
"97",3,9,1
"98",3,9.5,1
"99",3,10,1
"100",3,10.5,0
"101",3,11,2
"102",3,11.5,3
"103",3,12,0
"104",3,12.5,1
"105",4,0,19
"106",4,0.5,34
"107",4,1,39
"108",4,1.5,24
"109",4,2,15
"110",4,2.5,19
"111",4,3,14
"112",4,3.5,14
"113",4,4,11
"114",4,4.5,8
"115",4,5,9
"116",4,5.5,5
"117",4,6,11
"118",4,6.5,8
"119",4,7,3
"120",4,7.5,5
"121",4,8,4
"122",4,8.5,5
"123",4,9,1
"124",4,9.5,2
"125",4,10,1
"126",4,10.5,0
"127",4,11,0
"128",4,11.5,0
"129",4,12,4
"130",5,0,16
"131",5,0.5,25
"132",5,1,39
"133",5,1.5,21
"134",5,2,18
"135",5,2.5,10
"136",5,3,4
"137",5,3.5,13
"138",5,4,7
"139",5,4.5,11
"140",5,5,9
"141",5,5.5,6
"142",5,6,8
"143",5,6.5,9
"144",5,7,5
"145",5,7.5,6
"146",5,8,4
"147",5,8.5,0
"148",5,9,0
"149",5,9.5,1
"150",5,10,1
"151",5,10.5,1
"152",5,11,1
"153",5,11.5,0
"154",5,12,0
"155",5,12.5,1
"156",5,13,1
"157",6,0,27
"158",6,0.5,46
"159",6,1,24
"160",6,1.5,26
"161",6,2,22
"162",6,2.5,17
"163",6,3,17
"164",6,3.5,16
"165",6,4,6
"166",6,4.5,12
"167",6,5,12
"168",6,5.5,4
"169",6,6,9
"170",6,6.5,16
"171",6,7,4
"172",6,7.5,1
"173",6,8,2
"174",6,8.5,2
"175",6,9,0
"176",6,9.5,4
"177",6,10,0
"178",6,10.5,3
"179",6,11,1
"180",6,11.5,1
"181",6,12,1
"182",6,12.5,1
"183",7,0,22
"184",7,0.5,43
"185",7,1,35
"186",7,1.5,27
"187",7,2,23
"188",7,2.5,13
"189",7,3,18
"190",7,3.5,19
"191",7,4,8
"192",7,4.5,10
"193",7,5,11
"194",7,5.5,11
"195",7,6,12
"196",7,6.5,7
"197",7,7,4
"198",7,7.5,4
"199",7,8,1
"200",7,8.5,0
"201",7,9,4
"202",7,9.5,1
"203",7,10,2
"204",7,10.5,0
"205",7,11,1
"206",7,11.5,1
"207",7,12,1
"208",7,12.5,1
"209",8,0,21
"210",8,0.5,47
"211",8,1,40
"212",8,1.5,37
"213",8,2,26
"214",8,2.5,18
"215",8,3,11
"216",8,3.5,17
"217",8,4,11
"218",8,4.5,10
"219",8,5,10
"220",8,5.5,6
"221",8,6,10
"222",8,6.5,7
"223",8,7,7
"224",8,7.5,3
"225",8,8,3
"226",8,8.5,6
"227",8,9,1
"228",8,9.5,1
"229",8,10,1
"230",8,10.5,0
"231",8,11,0
"232",8,11.5,2
"233",8,12,2
"234",8,12.5,1
"235",9,0,19
"236",9,0.5,41
"237",9,1,29
"238",9,1.5,23
"239",9,2,10
"240",9,2.5,11
"241",9,3,12
"242",9,3.5,13
"243",9,4,9
"244",9,4.5,7
"245",9,5,9
"246",9,5.5,2
"247",9,6,11
"248",9,6.5,3
"249",9,7,7
"250",9,7.5,5
"251",9,8,4
"252",9,8.5,1
"253",9,9,1
"254",9,9.5,1
"255",9,10,3
"256",9,10.5,2
"257",9,11,1
"258",9,11.5,0
"259",9,12,0
"260",9,12.5,0
"261",9,13,0
"262",9,13.5,1
"263",10,0,17
"264",10,0.5,36
"265",10,1,32
"266",10,1.5,25
"267",10,2,21
"268",10,2.5,16
"269",10,3,8
"270",10,3.5,12
"271",10,4,6
"272",10,4.5,8
"273",10,5,5
"274",10,5.5,6
"275",10,6,6
"276",10,6.5,7
"277",10,7,4
"278",10,7.5,4
"279",10,8,4
"280",10,8.5,2
"281",10,9,2
"282",10,9.5,1
"283",10,10,6
"284",10,10.5,0
"285",10,11,2
"286",10,11.5,0
"287",10,12,0
"288",10,12.5,2
