"","sim_num","bins","original_patches"
"1",0,0,68
"2",0,0.5,106
"3",0,1,86
"4",0,1.5,72
"5",0,2,58
"6",0,2.5,38
"7",0,3,36
"8",0,3.5,25
"9",0,4,33
"10",0,4.5,33
"11",0,5,18
"12",0,5.5,19
"13",0,6,17
"14",0,6.5,29
"15",0,7,10
"16",0,7.5,12
"17",0,8,6
"18",0,8.5,2
"19",0,9,1
"20",0,9.5,1
"21",0,10,2
"22",0,10.5,2
"23",0,11,3
"24",1,0,338
"25",1,0.5,557
"26",1,1,423
"27",1,1.5,247
"28",1,2,177
"29",1,2.5,117
"30",1,3,67
"31",1,3.5,36
"32",1,4,25
"33",1,4.5,28
"34",1,5,21
"35",1,5.5,20
"36",1,6,14
"37",1,6.5,15
"38",1,7,19
"39",1,7.5,12
"40",1,8,6
"41",1,8.5,6
"42",1,9,2
"43",1,9.5,2
"44",1,10,1
"45",1,10.5,1
"46",2,0,399
"47",2,0.5,637
"48",2,1,444
"49",2,1.5,257
"50",2,2,126
"51",2,2.5,106
"52",2,3,78
"53",2,3.5,33
"54",2,4,30
"55",2,4.5,18
"56",2,5,24
"57",2,5.5,17
"58",2,6,16
"59",2,6.5,10
"60",2,7,8
"61",2,7.5,7
"62",2,8,5
"63",2,8.5,3
"64",2,9,2
"65",2,9.5,4
"66",2,10,0
"67",2,10.5,1
"68",3,0,368
"69",3,0.5,602
"70",3,1,410
"71",3,1.5,236
"72",3,2,157
"73",3,2.5,88
"74",3,3,67
"75",3,3.5,49
"76",3,4,23
"77",3,4.5,20
"78",3,5,24
"79",3,5.5,25
"80",3,6,16
"81",3,6.5,11
"82",3,7,5
"83",3,7.5,7
"84",3,8,6
"85",3,8.5,5
"86",3,9,4
"87",3,9.5,1
"88",3,10,1
"89",3,10.5,1
"90",3,11,0
"91",3,11.5,1
"92",4,0,392
"93",4,0.5,611
"94",4,1,483
"95",4,1.5,301
"96",4,2,171
"97",4,2.5,132
"98",4,3,81
"99",4,3.5,45
"100",4,4,24
"101",4,4.5,24
"102",4,5,21
"103",4,5.5,36
"104",4,6,19
"105",4,6.5,13
"106",4,7,10
"107",4,7.5,12
"108",4,8,6
"109",4,8.5,6
"110",4,9,2
"111",4,9.5,0
"112",4,10,1
"113",4,10.5,1
"114",5,0,434
"115",5,0.5,647
"116",5,1,487
"117",5,1.5,274
"118",5,2,177
"119",5,2.5,91
"120",5,3,76
"121",5,3.5,41
"122",5,4,30
"123",5,4.5,19
"124",5,5,25
"125",5,5.5,19
"126",5,6,20
"127",5,6.5,15
"128",5,7,13
"129",5,7.5,6
"130",5,8,6
"131",5,8.5,5
"132",5,9,2
"133",5,9.5,0
"134",5,10,2
"135",5,10.5,1
"136",6,0,440
"137",6,0.5,677
"138",6,1,508
"139",6,1.5,296
"140",6,2,200
"141",6,2.5,131
"142",6,3,53
"143",6,3.5,33
"144",6,4,22
"145",6,4.5,27
"146",6,5,20
"147",6,5.5,24
"148",6,6,18
"149",6,6.5,13
"150",6,7,22
"151",6,7.5,9
"152",6,8,8
"153",6,8.5,1
"154",6,9,1
"155",6,9.5,0
"156",6,10,3
"157",7,0,434
"158",7,0.5,620
"159",7,1,479
"160",7,1.5,280
"161",7,2,156
"162",7,2.5,109
"163",7,3,58
"164",7,3.5,41
"165",7,4,29
"166",7,4.5,25
"167",7,5,16
"168",7,5.5,28
"169",7,6,20
"170",7,6.5,12
"171",7,7,17
"172",7,7.5,8
"173",7,8,2
"174",7,8.5,1
"175",7,9,3
"176",7,9.5,0
"177",7,10,3
"178",8,0,398
"179",8,0.5,576
"180",8,1,444
"181",8,1.5,262
"182",8,2,133
"183",8,2.5,99
"184",8,3,64
"185",8,3.5,43
"186",8,4,9
"187",8,4.5,30
"188",8,5,28
"189",8,5.5,24
"190",8,6,14
"191",8,6.5,13
"192",8,7,7
"193",8,7.5,9
"194",8,8,0
"195",8,8.5,3
"196",8,9,4
"197",8,9.5,0
"198",8,10,3
"199",8,10.5,1
"200",9,0,423
"201",9,0.5,600
"202",9,1,433
"203",9,1.5,279
"204",9,2,168
"205",9,2.5,116
"206",9,3,69
"207",9,3.5,39
"208",9,4,31
"209",9,4.5,19
"210",9,5,14
"211",9,5.5,22
"212",9,6,23
"213",9,6.5,11
"214",9,7,5
"215",9,7.5,12
"216",9,8,7
"217",9,8.5,3
"218",9,9,3
"219",9,9.5,1
"220",9,10,0
"221",9,10.5,0
"222",9,11,1
"223",10,0,464
"224",10,0.5,622
"225",10,1,471
"226",10,1.5,253
"227",10,2,159
"228",10,2.5,93
"229",10,3,61
"230",10,3.5,38
"231",10,4,25
"232",10,4.5,23
"233",10,5,24
"234",10,5.5,14
"235",10,6,14
"236",10,6.5,12
"237",10,7,2
"238",10,7.5,6
"239",10,8,4
"240",10,8.5,3
"241",10,9,2
"242",10,9.5,0
"243",10,10,0
"244",10,10.5,1
"245",10,11,1
"246",10,11.5,1
