"","sim_num","bins","original_patches"
"1",0,0,68
"2",0,0.5,106
"3",0,1,86
"4",0,1.5,72
"5",0,2,58
"6",0,2.5,38
"7",0,3,36
"8",0,3.5,25
"9",0,4,33
"10",0,4.5,33
"11",0,5,18
"12",0,5.5,19
"13",0,6,17
"14",0,6.5,29
"15",0,7,10
"16",0,7.5,12
"17",0,8,6
"18",0,8.5,2
"19",0,9,1
"20",0,9.5,1
"21",0,10,2
"22",0,10.5,2
"23",0,11,3
"24",1,0,76
"25",1,0.5,115
"26",1,1,76
"27",1,1.5,61
"28",1,2,29
"29",1,2.5,25
"30",1,3,26
"31",1,3.5,13
"32",1,4,5
"33",1,4.5,12
"34",1,5,13
"35",1,5.5,7
"36",1,6,8
"37",1,6.5,11
"38",1,7,10
"39",1,7.5,10
"40",1,8,4
"41",1,8.5,4
"42",1,9,1
"43",1,9.5,2
"44",1,10,2
"45",1,10.5,2
"46",1,11,1
"47",1,11.5,0
"48",1,12,0
"49",1,12.5,1
"50",2,0,63
"51",2,0.5,103
"52",2,1,64
"53",2,1.5,41
"54",2,2,26
"55",2,2.5,18
"56",2,3,6
"57",2,3.5,14
"58",2,4,11
"59",2,4.5,9
"60",2,5,4
"61",2,5.5,7
"62",2,6,13
"63",2,6.5,7
"64",2,7,6
"65",2,7.5,1
"66",2,8,1
"67",2,8.5,5
"68",2,9,3
"69",2,9.5,5
"70",2,10,1
"71",2,10.5,2
"72",2,11,1
"73",2,11.5,2
"74",2,12,1
"75",3,0,87
"76",3,0.5,93
"77",3,1,87
"78",3,1.5,57
"79",3,2,34
"80",3,2.5,27
"81",3,3,20
"82",3,3.5,17
"83",3,4,8
"84",3,4.5,5
"85",3,5,16
"86",3,5.5,10
"87",3,6,12
"88",3,6.5,7
"89",3,7,8
"90",3,7.5,6
"91",3,8,4
"92",3,8.5,2
"93",3,9,2
"94",3,9.5,4
"95",3,10,1
"96",3,10.5,1
"97",3,11,1
"98",3,11.5,2
"99",3,12,1
"100",4,0,89
"101",4,0.5,116
"102",4,1,82
"103",4,1.5,57
"104",4,2,32
"105",4,2.5,28
"106",4,3,19
"107",4,3.5,18
"108",4,4,12
"109",4,4.5,12
"110",4,5,9
"111",4,5.5,14
"112",4,6,14
"113",4,6.5,9
"114",4,7,7
"115",4,7.5,5
"116",4,8,1
"117",4,8.5,2
"118",4,9,5
"119",4,9.5,4
"120",4,10,1
"121",4,10.5,0
"122",4,11,1
"123",4,11.5,0
"124",4,12,0
"125",4,12.5,1
"126",5,0,87
"127",5,0.5,106
"128",5,1,74
"129",5,1.5,58
"130",5,2,37
"131",5,2.5,23
"132",5,3,27
"133",5,3.5,11
"134",5,4,11
"135",5,4.5,13
"136",5,5,16
"137",5,5.5,14
"138",5,6,8
"139",5,6.5,7
"140",5,7,9
"141",5,7.5,3
"142",5,8,2
"143",5,8.5,5
"144",5,9,1
"145",5,9.5,5
"146",5,10,4
"147",5,10.5,1
"148",5,11,1
"149",5,11.5,0
"150",5,12,0
"151",5,12.5,1
"152",6,0,84
"153",6,0.5,109
"154",6,1,79
"155",6,1.5,56
"156",6,2,36
"157",6,2.5,18
"158",6,3,18
"159",6,3.5,13
"160",6,4,11
"161",6,4.5,7
"162",6,5,16
"163",6,5.5,13
"164",6,6,12
"165",6,6.5,12
"166",6,7,4
"167",6,7.5,8
"168",6,8,4
"169",6,8.5,2
"170",6,9,1
"171",6,9.5,0
"172",6,10,2
"173",6,10.5,2
"174",6,11,3
"175",6,11.5,2
"176",7,0,77
"177",7,0.5,118
"178",7,1,74
"179",7,1.5,63
"180",7,2,39
"181",7,2.5,29
"182",7,3,18
"183",7,3.5,8
"184",7,4,5
"185",7,4.5,8
"186",7,5,13
"187",7,5.5,11
"188",7,6,6
"189",7,6.5,8
"190",7,7,7
"191",7,7.5,3
"192",7,8,1
"193",7,8.5,2
"194",7,9,4
"195",7,9.5,1
"196",7,10,3
"197",7,10.5,0
"198",7,11,2
"199",7,11.5,1
"200",7,12,2
"201",8,0,73
"202",8,0.5,82
"203",8,1,64
"204",8,1.5,34
"205",8,2,35
"206",8,2.5,20
"207",8,3,21
"208",8,3.5,16
"209",8,4,11
"210",8,4.5,11
"211",8,5,11
"212",8,5.5,14
"213",8,6,9
"214",8,6.5,6
"215",8,7,7
"216",8,7.5,3
"217",8,8,2
"218",8,8.5,1
"219",8,9,2
"220",8,9.5,0
"221",8,10,3
"222",8,10.5,2
"223",8,11,2
"224",8,11.5,1
"225",8,12,1
"226",9,0,61
"227",9,0.5,91
"228",9,1,73
"229",9,1.5,43
"230",9,2,32
"231",9,2.5,23
"232",9,3,18
"233",9,3.5,17
"234",9,4,15
"235",9,4.5,11
"236",9,5,14
"237",9,5.5,7
"238",9,6,6
"239",9,6.5,10
"240",9,7,3
"241",9,7.5,8
"242",9,8,3
"243",9,8.5,2
"244",9,9,2
"245",9,9.5,2
"246",9,10,1
"247",9,10.5,0
"248",9,11,3
"249",9,11.5,0
"250",9,12,1
"251",10,0,69
"252",10,0.5,81
"253",10,1,71
"254",10,1.5,49
"255",10,2,33
"256",10,2.5,21
"257",10,3,10
"258",10,3.5,11
"259",10,4,10
"260",10,4.5,10
"261",10,5,10
"262",10,5.5,6
"263",10,6,10
"264",10,6.5,9
"265",10,7,4
"266",10,7.5,0
"267",10,8,5
"268",10,8.5,0
"269",10,9,3
"270",10,9.5,3
"271",10,10,1
"272",10,10.5,1
"273",10,11,0
"274",10,11.5,1
"275",10,12,1
"276",10,12.5,0
"277",10,13,1
