"","sim_num","bins","original_patches"
"1",0,0,68
"2",0,0.5,106
"3",0,1,86
"4",0,1.5,72
"5",0,2,58
"6",0,2.5,38
"7",0,3,36
"8",0,3.5,25
"9",0,4,33
"10",0,4.5,33
"11",0,5,18
"12",0,5.5,19
"13",0,6,17
"14",0,6.5,29
"15",0,7,10
"16",0,7.5,12
"17",0,8,6
"18",0,8.5,2
"19",0,9,1
"20",0,9.5,1
"21",0,10,2
"22",0,10.5,2
"23",0,11,3
"24",1,0,24
"25",1,0.5,27
"26",1,1,25
"27",1,1.5,24
"28",1,2,16
"29",1,2.5,15
"30",1,3,11
"31",1,3.5,7
"32",1,4,7
"33",1,4.5,8
"34",1,5,3
"35",1,5.5,7
"36",1,6,7
"37",1,6.5,3
"38",1,7,4
"39",1,7.5,2
"40",1,8,1
"41",1,8.5,4
"42",1,9,0
"43",1,9.5,2
"44",1,10,0
"45",1,10.5,0
"46",1,11,1
"47",1,11.5,2
"48",1,12,0
"49",1,12.5,0
"50",1,13,2
"51",2,0,13
"52",2,0.5,40
"53",2,1,28
"54",2,1.5,25
"55",2,2,24
"56",2,2.5,23
"57",2,3,6
"58",2,3.5,7
"59",2,4,15
"60",2,4.5,12
"61",2,5,7
"62",2,5.5,8
"63",2,6,4
"64",2,6.5,3
"65",2,7,4
"66",2,7.5,5
"67",2,8,3
"68",2,8.5,2
"69",2,9,2
"70",2,9.5,0
"71",2,10,0
"72",2,10.5,0
"73",2,11,0
"74",2,11.5,0
"75",2,12,0
"76",2,12.5,2
"77",2,13,0
"78",2,13.5,1
"79",3,0,26
"80",3,0.5,40
"81",3,1,37
"82",3,1.5,36
"83",3,2,23
"84",3,2.5,19
"85",3,3,12
"86",3,3.5,10
"87",3,4,12
"88",3,4.5,12
"89",3,5,9
"90",3,5.5,12
"91",3,6,10
"92",3,6.5,5
"93",3,7,8
"94",3,7.5,4
"95",3,8,7
"96",3,8.5,1
"97",3,9,3
"98",3,9.5,1
"99",3,10,3
"100",3,10.5,0
"101",3,11,0
"102",3,11.5,0
"103",3,12,2
"104",4,0,16
"105",4,0.5,28
"106",4,1,36
"107",4,1.5,23
"108",4,2,31
"109",4,2.5,18
"110",4,3,13
"111",4,3.5,11
"112",4,4,14
"113",4,4.5,10
"114",4,5,4
"115",4,5.5,9
"116",4,6,10
"117",4,6.5,5
"118",4,7,1
"119",4,7.5,3
"120",4,8,2
"121",4,8.5,3
"122",4,9,1
"123",4,9.5,1
"124",4,10,1
"125",4,10.5,0
"126",4,11,2
"127",4,11.5,0
"128",4,12,0
"129",4,12.5,2
"130",5,0,17
"131",5,0.5,25
"132",5,1,31
"133",5,1.5,32
"134",5,2,20
"135",5,2.5,13
"136",5,3,7
"137",5,3.5,13
"138",5,4,6
"139",5,4.5,9
"140",5,5,8
"141",5,5.5,12
"142",5,6,12
"143",5,6.5,5
"144",5,7,6
"145",5,7.5,2
"146",5,8,6
"147",5,8.5,1
"148",5,9,1
"149",5,9.5,2
"150",5,10,4
"151",5,10.5,0
"152",5,11,0
"153",5,11.5,1
"154",5,12,0
"155",5,12.5,0
"156",5,13,0
"157",5,13.5,1
"158",6,0,15
"159",6,0.5,51
"160",6,1,33
"161",6,1.5,21
"162",6,2,17
"163",6,2.5,17
"164",6,3,8
"165",6,3.5,13
"166",6,4,10
"167",6,4.5,12
"168",6,5,7
"169",6,5.5,9
"170",6,6,10
"171",6,6.5,6
"172",6,7,7
"173",6,7.5,1
"174",6,8,3
"175",6,8.5,1
"176",6,9,0
"177",6,9.5,0
"178",6,10,0
"179",6,10.5,1
"180",6,11,1
"181",6,11.5,1
"182",6,12,0
"183",6,12.5,1
"184",6,13,1
"185",7,0,24
"186",7,0.5,24
"187",7,1,27
"188",7,1.5,23
"189",7,2,14
"190",7,2.5,18
"191",7,3,11
"192",7,3.5,7
"193",7,4,5
"194",7,4.5,8
"195",7,5,4
"196",7,5.5,5
"197",7,6,5
"198",7,6.5,7
"199",7,7,3
"200",7,7.5,2
"201",7,8,2
"202",7,8.5,2
"203",7,9,0
"204",7,9.5,0
"205",7,10,0
"206",7,10.5,1
"207",7,11,0
"208",7,11.5,0
"209",7,12,0
"210",7,12.5,0
"211",7,13,1
"212",7,13.5,0
"213",7,14,1
"214",8,0,30
"215",8,0.5,37
"216",8,1,46
"217",8,1.5,25
"218",8,2,19
"219",8,2.5,14
"220",8,3,12
"221",8,3.5,8
"222",8,4,3
"223",8,4.5,10
"224",8,5,10
"225",8,5.5,4
"226",8,6,6
"227",8,6.5,8
"228",8,7,6
"229",8,7.5,5
"230",8,8,5
"231",8,8.5,1
"232",8,9,0
"233",8,9.5,4
"234",8,10,0
"235",8,10.5,0
"236",8,11,1
"237",8,11.5,0
"238",8,12,1
"239",8,12.5,1
"240",9,0,27
"241",9,0.5,41
"242",9,1,35
"243",9,1.5,27
"244",9,2,26
"245",9,2.5,21
"246",9,3,15
"247",9,3.5,11
"248",9,4,9
"249",9,4.5,9
"250",9,5,7
"251",9,5.5,8
"252",9,6,6
"253",9,6.5,6
"254",9,7,8
"255",9,7.5,5
"256",9,8,3
"257",9,8.5,3
"258",9,9,2
"259",9,9.5,1
"260",9,10,0
"261",9,10.5,2
"262",9,11,1
"263",9,11.5,1
"264",9,12,1
"265",9,12.5,1
"266",10,0,26
"267",10,0.5,32
"268",10,1,26
"269",10,1.5,22
"270",10,2,16
"271",10,2.5,26
"272",10,3,16
"273",10,3.5,9
"274",10,4,7
"275",10,4.5,13
"276",10,5,6
"277",10,5.5,7
"278",10,6,11
"279",10,6.5,7
"280",10,7,7
"281",10,7.5,4
"282",10,8,2
"283",10,8.5,1
"284",10,9,2
"285",10,9.5,0
"286",10,10,2
"287",10,10.5,2
"288",10,11,1
"289",10,11.5,1
"290",10,12,0
"291",10,12.5,0
"292",10,13,0
"293",10,13.5,1
