sim,Area_ha,prop_hs,prop_hs_sim
0,4030.0262659995706,0.354,0.354
0,1644.7796940000476,0.354,0.354
0,1502.1840009999933,0.354,0.354
0,982.4546939999581,0.354,0.354
0,889.9186875414849,0.354,0.354
0,406.5816030000016,0.354,0.354
0,399.6098969999314,0.354,0.354
0,380.8678021693677,0.354,0.354
0,365.29500299999415,0.354,0.354
0,322.53772299992744,0.354,0.354
0,276.9269229999736,0.354,0.354
0,275.64832299997806,0.354,0.354
0,247.7661009999752,0.354,0.354
0,238.8540009999961,0.354,0.354
0,216.69899899997714,0.354,0.354
0,205.26899900000097,0.354,0.354
0,192.30180099999905,0.354,0.354
0,191.50560299998523,0.354,0.354
0,166.31925,0.354,0.354
0,163.71,0.354,0.354
0,163.17000000000002,0.354,0.354
0,156.06,0.354,0.354
0,154.5063,0.354,0.354
0,144.6930069999218,0.354,0.354
0,143.7326980000019,0.354,0.354
0,139.94670299999714,0.354,0.354
0,139.50179899997713,0.354,0.354
0,135.1719020000104,0.354,0.354
0,134.7489009999752,0.354,0.354
0,134.25300300001055,0.354,0.354
0,129.33,0.354,0.354
0,124.30784599997924,0.354,0.354
0,121.11232400000077,0.354,0.354
0,117.61950200000108,0.354,0.354
0,117.27000000000001,0.354,0.354
0,116.09790100000501,0.354,0.354
0,111.70792400000096,0.354,0.354
0,109.64100099999905,0.354,0.354
0,108.86602499997616,0.354,0.354
0,106.65,0.354,0.354
0,103.86,0.354,0.354
0,102.13207599999905,0.354,0.354
0,93.33509900000095,0.354,0.354
0,93.33,0.354,0.354
0,91.89,0.354,0.354
0,91.39012400000095,0.354,0.354
0,88.11,0.354,0.354
0,85.95,0.354,0.354
0,83.79,0.354,0.354
0,81,0.354,0.354
0,77.91420299999751,0.354,0.354
0,77.04,0.354,0.354
0,75.59670099999904,0.354,0.354
0,75.2283019999981,0.354,0.354
0,72.29767599999933,0.354,0.354
0,70.6512,0.354,0.354
0,66.87599700000436,0.354,0.354
0,65.79,0.354,0.354
0,65.52000000000001,0.354,0.354
0,60.88342300000191,0.354,0.354
0,58.68,0.354,0.354
0,58.55974399925471,0.354,0.354
0,56.970000000000006,0.354,0.354
0,56.88,0.354,0.354
0,56.160000000000004,0.354,0.354
0,55.33290299999491,0.354,0.354
0,54.720000000000006,0.354,0.354
0,54.331124000000955,0.354,0.354
0,53.22164900000096,0.354,0.354
0,53.1816039999947,0.354,0.354
0,50.940000000000005,0.354,0.354
0,50.22,0.354,0.354
0,47.0022,0.354,0.354
0,46.896075,0.354,0.354
0,45.7022960000068,0.354,0.354
0,45.18,0.354,0.354
0,44.910000000000004,0.354,0.354
0,40.59,0.354,0.354
0,40.56700733703226,0.354,0.354
0,39.97522799999491,0.354,0.354
0,39.78,0.354,0.354
0,38.845351999996886,0.354,0.354
0,37.707000999999046,0.354,0.354
0,36,0.354,0.354
0,34.02,0.354,0.354
0,33.65820100000203,0.354,0.354
0,33.480000000000004,0.354,0.354
0,32.67,0.354,0.354
0,32.13,0.354,0.354
0,31.770000000000003,0.354,0.354
0,31.35284900000021,0.354,0.354
0,31.228800000000003,0.354,0.354
0,30.6,0.354,0.354
0,30.240000000000002,0.354,0.354
0,29.34,0.354,0.354
0,28.55767599999979,0.354,0.354
0,28.53,0.354,0.354
0,28.371000999999048,0.354,0.354
0,28.266075,0.354,0.354
0,27.990000000000002,0.354,0.354
0,26.30160099999942,0.354,0.354
0,26.19,0.354,0.354
0,26.099932445317506,0.354,0.354
0,25.02,0.354,0.354
0,24.66,0.354,0.354
0,24.21,0.354,0.354
0,24.162601999998095,0.354,0.354
0,23.310000000000002,0.354,0.354
0,23.310000000000002,0.354,0.354
0,22.32,0.354,0.354
0,22.23,0.354,0.354
0,21.537675999998303,0.354,0.354
0,21.51,0.354,0.354
0,21.330000000000002,0.354,0.354
0,21.23730200000033,0.354,0.354
0,21.019875999999048,0.354,0.354
0,20.6994,0.354,0.354
0,20.34,0.354,0.354
0,20.34,0.354,0.354
0,20.16,0.354,0.354
0,19.98,0.354,0.354
0,19.62,0.354,0.354
0,18.630000000000003,0.354,0.354
0,18.54,0.354,0.354
0,18.4722,0.354,0.354
0,18.36,0.354,0.354
