sim,Area_ha,prop_hs
0,4035.580462999637,0.428
0,1660.349693999982,0.428
0,1511.9940009999932,0.428
0,982.4546940000866,0.428
0,889.9186875414849,0.428
0,713.800126000002,0.428
0,505.0762469999552,0.428
0,502.6123614568785,0.428
0,406.581603000021,0.428
0,399.6098969999314,0.428
0,380.8678021693677,0.428
0,365.29500299999415,0.428
0,358.63920200004577,0.428
0,336.10013599309474,0.428
0,322.53772299992744,0.428
0,276.9269229999736,0.428
0,247.7661009999752,0.428
0,240.56431311457195,0.428
0,238.8540009999961,0.428
0,219.0683979999781,0.428
0,216.69899899997714,0.428
0,205.26899900000097,0.428
0,194.68169800002576,0.428
0,191.50560299998523,0.428
0,176.75730000000001,0.428
0,172.26569800000192,0.428
0,167.92387407123894,0.428
0,166.31925,0.428
0,163.71,0.428
0,163.17000000000002,0.428
0,156.06,0.428
0,147.33059999999853,0.428
0,144.6930069999218,0.428
0,143.7326980000019,0.428
0,139.50179899997713,0.428
0,135.67012400000544,0.428
0,135.6489009999752,0.428
0,135.1719020000104,0.428
0,134.25300300001055,0.428
0,130.56394383745194,0.428
0,129.33,0.428
0,124.30784599997924,0.428
0,121.11232400000077,0.428
0,117.61950200000108,0.428
0,117.27000000000001,0.428
0,116.2943278989572,0.428
0,116.09790100000501,0.428
0,115.94100099999905,0.428
0,111.70792400000096,0.428
0,108.86602499997616,0.428
0,108.09,0.428
0,106.65,0.428
0,103.86,0.428
0,102.13207599999905,0.428
0,99.7007990000248,0.428
0,99.5361010000229,0.428
0,95.94,0.428
0,93.33509900000095,0.428
0,93.33,0.428
0,92.5083019999963,0.428
0,91.89,0.428
0,91.39012400000095,0.428
0,85.95,0.428
0,85.53607654561996,0.428
0,84.70130309313461,0.428
0,83.79,0.428
0,81,0.428
0,77.91420299999751,0.428
0,77.04,0.428
0,75.59670099999904,0.428
0,75.2283019999981,0.428
0,73.83464799999967,0.428
0,72.29767599999933,0.428
0,71.1840019999981,0.428
0,67.59,0.428
0,66.87599700000436,0.428
0,66.24000000000001,0.428
0,65.79,0.428
0,65.52000000000001,0.428
0,63.95535199999809,0.428
0,62.39767600000343,0.428
0,60.88342300000191,0.428
0,60.300000000000004,0.428
0,60.21,0.428
0,58.68,0.428
0,58.55974399925471,0.428
0,57.42,0.428
0,56.88,0.428
0,56.160000000000004,0.428
0,55.33290299999491,0.428
0,54.720000000000006,0.428
0,54.331124000000955,0.428
0,53.22164900000096,0.428
0,53.1816039999947,0.428
0,48.870000000000005,0.428
0,47.0022,0.428
0,46.896075,0.428
0,45.7022960000068,0.428
0,45.18,0.428
0,45.09,0.428
0,44.910000000000004,0.428
0,43.159875999999045,0.428
0,40.854302000004054,0.428
0,40.59,0.428
0,40.56700733703226,0.428
0,40.184400000000004,0.428
0,39.97522799999491,0.428
0,39.78,0.428
0,38.845351999996886,0.428
0,38.159400000000005,0.428
0,37.707000999999046,0.428
0,34.59592599999905,0.428
0,33.78225722497888,0.428
0,33.65820100000203,0.428
0,32.04,0.428
0,31.35284900000021,0.428
0,31.05,0.428
0,30.6,0.428
0,30.240000000000002,0.428
0,29.34,0.428
0,28.912311341696977,0.428
0,28.55767599999979,0.428
0,28.53,0.428
0,28.371000999999048,0.428
0,28.309876000002028,0.428
0,28.266075,0.428
0,27.720000000000002,0.428
0,26.30160099999942,0.428
0,26.19,0.428
0,26.099932445317506,0.428
0,25.02,0.428
0,24.84,0.428
0,24.66,0.428
0,24.21,0.428
0,24.162601999998095,0.428
0,22.41,0.428
0,22.32,0.428
0,22.23,0.428
0,21.537675999998303,0.428
0,21.51,0.428
0,21.330000000000002,0.428
0,21.23730200000033,0.428
0,21.019875999999048,0.428
0,20.6994,0.428
0,20.34,0.428
0,20.34,0.428
0,20.16,0.428
0,19.98,0.428
0,19.89,0.428
0,19.62,0.428
0,18.630000000000003,0.428
0,18.54,0.428
0,18.47220000000447,0.428
0,18.36,0.428
0,18.245700999998302,0.428
0,18.09,0.428
0,17.932199999997486,0.428
0,17.73,0.428
0,17.64,0.428
0,17.01,0.428
0,16.976453841793912,0.428
0,16.830000000000002,0.428
0,16.470000000000002,0.428
0,16.29,0.428
0,16.06101066125259,0.428
0,16.02,0.428
0,15.75,0.428
0,15.57,0.428
0,15.57,0.428
0,15.48,0.428
0,15.21,0.428
0,15.030000000000001,0.428
0,14.49,0.428
0,14.040000000000001,0.428
0,13.770000000000001,0.428
0,13.680000000000001,0.428
0,13.59,0.428
0,13.41,0.428
0,13.23,0.428
0,13.23,0.428
0,12.96,0.428
0,12.780000000000001,0.428
0,12.780000000000001,0.428
0,12.51,0.428
0,12.51,0.428
0,12.42,0.428
0,12.33,0.428
0,11.790000000000001,0.428
0,11.790000000000001,0.428
0,11.43,0.428
0,11.25,0.428
0,11.25,0.428
0,11.16,0.428
0,10.89,0.428
0,10.620000000000001,0.428
0,10.35,0.428
0,10.26,0.428
0,10.26,0.428
0,9.99,0.428
0,9.81,0.428
0,9.63,0.428
0,9.63,0.428
0,9.540000000000001,0.428
0,9.540000000000001,0.428
0,9.540000000000001,0.428
0,9.360000000000001,0.428
0,9.059649357022568,0.428
0,8.91,0.428
0,8.64,0.428
0,8.55,0.428
0,8.55,0.428
0,8.370000000000001,0.428
0,8.370000000000001,0.428
0,8.370000000000001,0.428
0,8.280000000000001,0.428
0,7.920000000000001,0.428
0,7.83,0.428
0,7.74,0.428
0,7.65,0.428
0,7.56,0.428
0,7.470000000000001,0.428
0,7.470000000000001,0.428
0,7.380000000000001,0.428
0,7.380000000000001,0.428
0,7.29,0.428
0,7.11,0.428
0,7.11,0.428
0,7.046563830684591,0.428
0,6.930000000000001,0.428
0,6.57,0.428
0,6.57,0.428
0,6.48,0.428
0,6.48,0.428
0,6.390000000000001,0.428
0,6.300000000000001,0.428
0,6.220047877159715,0.428
0,6.21,0.428
0,6.21,0.428
0,6.03,0.428
0,5.94,0.428
0,5.850000000000001,0.428
0,5.850000000000001,0.428
0,5.755454080528021,0.428
0,5.67,0.428
0,5.67,0.428
0,5.58,0.428
0,5.58,0.428
0,5.49,0.428
0,5.49,0.428
0,5.4,0.428
0,5.4,0.428
0,5.31,0.428
0,5.31,0.428
0,5.31,0.428
0,5.220000000000001,0.428
0,5.220000000000001,0.428
0,5.220000000000001,0.428
0,5.220000000000001,0.428
0,5.13,0.428
0,5.13,0.428
0,5.13,0.428
0,5.04,0.428
0,5.04,0.428
0,5.04,0.428
0,5.04,0.428
0,5.04,0.428
0,5.04,0.428
0,5.04,0.428
0,4.95,0.428
0,4.95,0.428
0,4.95,0.428
0,4.86,0.428
0,4.86,0.428
0,4.86,0.428
0,4.77,0.428
0,4.77,0.428
0,4.77,0.428
0,4.680000000000001,0.428
0,4.680000000000001,0.428
0,4.5,0.428
0,4.5,0.428
0,4.5,0.428
0,4.5,0.428
0,4.5,0.428
0,4.5,0.428
0,4.41,0.428
0,4.32,0.428
0,4.32,0.428
0,4.32,0.428
0,4.32,0.428
0,4.23,0.428
0,4.23,0.428
0,4.23,0.428
0,4.23,0.428
0,4.23,0.428
0,4.23,0.428
0,4.140000000000001,0.428
0,4.140000000000001,0.428
0,4.05,0.428
0,4.05,0.428
0,4.05,0.428
0,4.05,0.428
0,4.05,0.428
0,3.96,0.428
0,3.96,0.428
0,3.96,0.428
0,3.96,0.428
0,3.96,0.428
0,3.87,0.428
0,3.87,0.428
0,3.78,0.428
0,3.78,0.428
0,3.78,0.428
0,3.78,0.428
0,3.69,0.428
0,3.69,0.428
0,3.684507501596213,0.428
0,3.6,0.428
0,3.6,0.428
0,3.6,0.428
0,3.6,0.428
0,3.6,0.428
0,3.51,0.428
0,3.51,0.428
0,3.51,0.428
0,3.51,0.428
0,3.51,0.428
0,3.42,0.428
0,3.42,0.428
0,3.42,0.428
0,3.42,0.428
0,3.42,0.428
0,3.42,0.428
0,3.33,0.428
0,3.33,0.428
0,3.24,0.428
0,3.24,0.428
0,3.24,0.428
0,3.24,0.428
0,3.24,0.428
0,3.24,0.428
0,3.24,0.428
0,3.24,0.428
0,3.219848387794197,0.428
0,3.15,0.428
0,3.15,0.428
